City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,kone,-21.0595,164.8658,30.26,47,16,3.65,NC,1702352523
114,mikhaylovskaya,44.9947,40.5964,5.79,83,100,6.55,RU,1702352523
115,hamilton,39.1834,-84.5333,0.99,82,0,3.09,US,1702352166
116,kisangani,0.5167,25.2,22.05,99,100,1.5,CD,1702352523
117,wakema,16.6,95.1833,28.65,64,11,2.97,MM,1702352523
118,longyearbyen,78.2186,15.6401,-8.09,67,75,7.72,SJ,1702352524
119,moundou,8.5667,16.0833,19.42,25,100,2.69,TD,1702352524
120,petropavlovsk-kamchatsky,53.0452,158.6483,-5.67,87,20,7.6,RU,1702352524
121,udachny,66.4167,112.4,-25.26,97,99,3.41,RU,1702352524
122,francistown,-21.17,27.5079,22.4,69,79,2.95,BW,1702352524
123,port alfred,-33.5906,26.891,16.77,93,7,2.68,ZA,1702352524
124,sainte-anne-des-monts,49.124,-66.4924,-1.07,100,100,9.26,CA,1702352524
125,fale old settlement,-9.3852,-171.2468,29.07,79,100,8.38,TK,1702352524
126,xai-xai,-25.0519,33.6442,23.31,95,100,1.73,MZ,1702352525
127,pangkalanbuun,-2.6833,111.6167,29.34,78,90,1.48,ID,1702352525
128,madera,37.1666,-119.8343,11.15,71,55,1.22,US,1702352525
129,papatowai,-46.5619,169.4708,10.71,60,78,9.23,NZ,1702352525
130,hawaiian paradise park,19.5933,-154.9731,23.91,94,75,2.57,US,1702352525
131,plastun,44.7561,136.2939,-8.02,33,90,4.72,RU,1702352525
132,sterling,39.0062,-77.4286,2.53,73,0,2.06,US,1702352526
133,sanya,18.2431,109.505,29.09,61,40,3.0,CN,1702352526
134,veinticinco de mayo,-35.4323,-60.1727,21.1,80,0,0.89,AR,1702352526
135,kingston,17.997,-76.7936,27.53,75,20,3.09,JM,1702352508
136,college,64.8569,-147.8028,-6.82,79,100,3.09,US,1702352518
137,khost,33.3395,69.9204,10.51,26,0,1.3,AF,1702352526
138,vilhena,-12.7406,-60.1458,21.99,87,87,1.17,BR,1702352526
139,machico,32.7,-16.7667,20.4,71,40,2.57,PT,1702352527
